IYEAR,NAME,State,,NET_LOSS_BBLS
2011,COLONIAL PIPELINE CO,AL,ALABAMA,1
2011,"SFPP, LP",CA,CALIFORNIA,14
2011,"MAGELLAN TERMINALS HOLDINGS, LP",CT,CONNECTICUT,304
2010,BUCKEYE PARTNERS + ENBRIDGE ENERGY,IL,ILLINOIS,489.7
2011,JAYHAWK PIPELINE LLC,KS,KANSAS,50
2011,MARATHON PIPE LINE LLC,MI,MICHIGAN,2835
2010,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",MI,MICHIGAN,1837
2010,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",MN,MINNESOTA,1
2012,"BUCKEYE PARTNERS, LP",NJ,NEW JERSEY,32
2012,"KINDER MORGAN LIQUID TERMINALS, LLC",NJ,NEW JERSEY,0.1
2012,"KINDER MORGAN LIQUID TERMINALS, LLC",NJ,NEW JERSEY,0
2011,"BUCKEYE PARTNERS, LP",NY,NEW YORK,324
2010,KIANTONE PIPELINE CORP,NY,NEW YORK,0.04
2011,"MAGELLAN PIPELINE COMPANY, LP",OK,OKLAHOMA,100
2012,COLONIAL PIPELINE CO,SC,SOUTH CAROLINA,33.12
2010,COLONIAL PIPELINE CO,SC,SOUTH CAROLINA,9.52
2012,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,SD,SOUTH DAKOTA,50
2012,COLONIAL PIPELINE CO,TN,TENNESSEE,61.9
2013,SUNOCO PIPELINE L.P.,TX,TEXAS,230
2012,WEST SHORE PIPELINE CO,WI,WISCONSIN,914
2012,"SHELL PIPELINE CO., L.P.",WI,WISCONSIN,87
,,,,
,,,,7372.38
